,Pistons,Rockets,Bucks,Bulls,Heat,Mavs,Bulls2,YOUR ASSOCIATION HERE
Order,Name,,,,,,,
20,76ers,,,,,,,
22,Bobcats,,,,,,,
9,Bucks,Spurs,Pacers,Pacers,Pacers,Pacers,Pacers,
28,Bulls,,,,,,Rockets,
11,Cavaliers,Pistons,,,,,,
12,Celtics,Cavaliers,,,,,,
7,Clippers,Warriors,,Bucks,Bucks,Bucks,Bucks,
6,Grizzlies,Clippers,,Warriors,Warriors,Warriors,Warriors,
16,Hawks,,,,,,,
4,Heat,Knicks,,Grizzlies,Grizzlies,Grizzlies,Grizzlies,
15,Hornets,,,,,,,
27,Jazz,,,,,,Lakers,
13,Kings,Celtics,,,,,,
5,Knicks,Grizzlies,,Clippers,Clippers,Clippers,Clippers,
25,Lakers,,,,,,Mavericks,
23,Magic,,,,,,,
29,Mavericks,,,,,,Jazz,
18,Nets,,,,,,,
0,Nuggets,,,,,,,
2,Pacers,Kings,Bucks,Heat,Heat,Heat,Heat,
3,Pistons,Heat,Spurs,Knicks,Knicks,Knicks,Knicks,
21,Raptors,,,,,,,
26,Rockets,,,,,,Thunder,
10,Spurs,Pacers,Pistons,Pistons,Pistons,Pistons,Pistons,
14,Suns,,,,,,,
24,Thunder,,,,,,Bulls,
17,Timberwolves,,,,,,,
1,Trail Blazers,,,,,,,
8,Warriors,Bucks,,Spurs,Spurs,Spurs,Spurs,
19,Wizards,,,,,,,
,30,12,4,9,9,9,15,0
